n,m,p,it,diff,ns
9,8,0.6,50,0,1097127
9,8,0.6,50,0,1509116
9,8,0.6,50,0,1333258
9,8,0.6,50,0,1344711
9,8,0.6,50,0,1220256
9,8,0.6,50,0,1062555
9,8,0.6,50,0,1159006
9,8,0.6,50,0,1264325
9,9,0.6,50,0,2560847
9,9,0.6,50,0,2621189
9,9,0.6,50,0,2513495
9,9,0.6,50,0,2652618
9,9,0.6,50,0,2619374
9,9,0.6,50,0,2615392
9,9,0.6,50,0,2453852
9,9,0.6,50,0,2813391
9,9,0.6,50,0,2786573
9,9,0.6,50,0,2735938
9,10,0.6,50,0,2641793
9,10,0.6,50,0,2550510
9,10,0.6,50,0,2657158
9,10,0.6,50,0,2521247
9,10,0.6,50,0,2642352
9,10,0.6,50,0,2645563
9,10,0.6,50,0,2530467
9,10,0.6,50,0,2679437
9,10,0.6,50,0,2552676
9,10,0.6,50,0,2552955
9,11,0.6,50,0,3263445
9,11,0.6,50,0,3183058
9,11,0.6,50,0,3192766
9,11,0.6,50,0,3192067
9,11,0.6,50,0,3198493
9,11,0.6,50,0,3189902
9,11,0.6,50,0,3184245
9,11,0.6,50,0,3188645
9,11,0.6,50,0,3210365
9,11,0.6,50,0,3177750
9,12,0.6,50,0,2243073
9,12,0.6,50,0,2133492
9,12,0.6,50,0,2127416
9,12,0.6,50,0,2123296
9,12,0.6,50,0,2168552
9,12,0.6,50,0,2157098
9,12,0.6,50,0,2136705
9,12,0.6,50,0,2141035
9,12,0.6,50,0,2117848
9,12,0.6,50,0,2213739
9,13,0.6,50,0,2664421
9,13,0.6,50,0,2569228
9,13,0.6,50,0,2620770
9,13,0.6,50,0,2569507
9,13,0.6,50,0,2552816
9,13,0.6,50,0,2556586
9,13,0.6,50,0,2570206
9,13,0.6,50,0,2555959
9,13,0.6,50,0,2562942
9,13,0.6,50,0,2584733
9,14,0.6,50,0,4837722
9,14,0.6,50,0,4824313
9,14,0.6,50,0,4710892
9,14,0.6,50,0,4739107
9,14,0.6,50,0,4886680
9,14,0.6,50,0,4817957
9,14,0.6,50,0,4746371
9,14,0.6,50,0,4741412
9,14,0.6,50,0,4765298
9,14,0.6,50,0,4778427
9,15,0.6,50,0,4800916
9,15,0.6,50,0,4794840
9,15,0.6,50,0,4784364
9,15,0.6,50,0,4789881
9,15,0.6,50,0,4586436
9,15,0.6,50,0,4799450
9,15,0.6,50,0,4392348
9,15,0.6,50,0,4801824
9,15,0.6,50,0,4787088
9,15,0.6,50,0,4789532
9,16,0.6,50,0,4197912
9,16,0.6,50,0,4193092
9,16,0.6,50,0,4107608
9,16,0.6,50,0,4086586
9,16,0.6,50,0,4210064
9,16,0.6,50,0,4493617
9,16,0.6,50,0,4167950
9,16,0.6,50,0,4238838
9,16,0.6,50,0,4188204
9,16,0.6,50,0,4231156
9,17,0.6,50,0,4300927
9,17,0.6,50,0,4250922
9,17,0.6,50,0,4253925
9,17,0.6,50,0,4261328
9,17,0.6,50,0,4249454
9,17,0.6,50,0,4259651
9,17,0.6,50,0,4256788
9,17,0.6,50,0,4255251
9,17,0.6,50,0,4256927
9,17,0.6,50,0,4258324
9,18,0.6,50,0,5254042
9,18,0.6,50,0,5075879
