n,m,diff,ns
62,70,29,5657
62,70,29,6216
62,70,29,6216
62,70,29,6285
62,70,29,6215
62,70,29,6216
62,70,29,6146
62,70,29,6286
62,70,29,6146
62,70,29,6215
62,70,29,6216
62,70,29,6285
62,70,29,6215
62,70,29,6216
62,70,29,6146
62,70,29,6146
62,70,29,6215
62,70,29,6216
62,70,29,6216
62,70,29,6146
71,84,35,7822
71,84,35,6984
71,84,35,7263
71,84,35,6565
71,84,35,6565
71,84,35,6635
71,84,35,6565
71,84,35,6216
71,84,35,6146
71,84,35,6356
71,84,35,6216
71,84,35,6565
71,84,35,6286
71,84,35,6635
71,84,35,6635
71,84,35,6565
71,84,35,6635
71,84,35,6495
71,84,35,6356
71,84,35,7682
71,84,35,7403
71,84,35,6634
71,84,35,6635
71,84,35,6635
71,84,35,7054
71,84,35,6496
71,84,35,6076
71,84,35,6705
71,84,35,6704
71,84,35,6634
71,84,35,6565
71,84,35,6565
71,84,35,6844
71,84,35,6635
71,84,35,6495
71,84,35,6705
71,84,35,6774
71,84,35,6566
71,84,35,6635
71,84,35,6705
71,84,35,6635
71,84,35,6634
71,84,35,6565
71,84,35,6565
71,84,35,6984
71,84,35,6565
71,84,35,6635
71,84,35,6215
71,84,35,6635
71,84,35,6705
71,84,35,6495
71,84,35,6635
71,84,35,6565
71,84,35,6565
71,84,35,6565
71,84,35,6635
71,84,35,6565
71,84,35,6635
71,84,35,6844
71,84,35,6565
71,84,35,7054
71,84,35,6635
71,84,35,6635
71,84,35,6635
71,84,35,6146
71,84,35,6635
71,84,35,6635
71,84,35,6704
71,84,35,6565
71,84,35,6565
71,84,35,6845
71,84,35,6635
71,84,35,6635
71,84,35,6565
71,84,35,6635
71,84,35,6775
71,84,35,6635
71,84,35,6565
71,84,35,6635
71,84,35,6705
71,84,35,6565
71,84,35,6635
71,84,35,6705
71,84,35,6635
71,84,35,6635
71,84,35,6565
71,84,35,6565
71,84,35,6635
71,84,35,6635
71,84,35,6565
71,84,35,6565
71,84,35,6635
71,84,35,6704
71,84,35,6704
71,84,35,6634
71,84,35,6495
71,84,35,6705
71,84,35,6705
71,84,35,6146
71,84,35,15295
79,92,41,8101
79,92,41,7543
79,92,41,7124
79,92,41,6914
79,92,41,6984
79,92,41,7124
79,92,41,6984
79,92,41,6705
79,92,41,6495
79,92,41,8241
79,92,41,7053
79,92,41,7194
79,92,41,7124
79,92,41,7124
79,92,41,7054
79,92,41,6705
79,92,41,6565
79,92,41,6635
79,92,41,7822
79,92,41,7822
79,92,41,7054
79,92,41,6984
79,92,41,7124
79,92,41,6984
79,92,41,7473
79,92,41,6984
79,92,41,7053
79,92,41,6984
79,92,41,7054
79,92,41,6914
79,92,41,6984
79,92,41,7333
79,92,41,6914
79,92,41,6914
79,92,41,6984
79,92,41,6565
79,92,41,6984
79,92,41,6774
79,92,41,7053
79,92,41,7054
79,92,41,6984
79,92,41,6984
79,92,41,7123
79,92,41,7123
79,92,41,6985
79,92,41,6914
79,92,41,6634
79,92,41,6984
79,92,41,6565
79,92,41,6984
79,92,41,7194
79,92,41,7054
79,92,41,6915
79,92,41,6984
79,92,41,7054
79,92,41,6984
79,92,41,7054
79,92,41,6565
79,92,41,7961
79,92,41,6984
79,92,41,7473
79,92,41,7333
79,92,41,7054
79,92,41,7054
79,92,41,6844
79,92,41,6984
79,92,41,6774
79,92,41,6984
79,92,41,6914
79,92,41,7054
79,92,41,6984
79,92,41,7054
79,92,41,7054
79,92,41,6984
79,92,41,6984
79,92,41,6914
79,92,41,6984
79,92,41,7194
79,92,41,6984
79,92,41,6984
79,92,41,6984
79,92,41,7053
79,92,41,7124
79,92,41,6984
79,92,41,6984
79,92,41,7193
79,92,41,7403
79,92,41,7054
79,92,41,7054
79,92,41,6984
79,92,41,6984
79,92,41,7054
79,92,41,6915
79,92,41,7194
79,92,41,6984
79,92,41,6984
79,92,41,7054
79,92,41,6984
79,92,41,7124
79,92,41,6914
89,108,48,8521
89,108,48,8031
89,108,48,7123
89,108,48,7404
89,108,48,7962
89,108,48,7403
89,108,48,7962
89,108,48,6984
89,108,48,8101
89,108,48,6844
89,108,48,7403
89,108,48,7123
89,108,48,7403
89,108,48,7333
89,108,48,7333
89,108,48,7334
89,108,48,7403
89,108,48,7403
89,108,48,7822
89,108,48,7473
89,108,48,7333
89,108,48,6914
89,108,48,7054
89,108,48,7403
89,108,48,7333
89,108,48,7403
89,108,48,7403
89,108,48,7403
89,108,48,7404
89,108,48,7403
89,108,48,7753
89,108,48,7822
89,108,48,7752
89,108,48,7473
89,108,48,7124
89,108,48,7473
89,108,48,7473
89,108,48,7473
89,108,48,7333
89,108,48,6984
89,108,48,7403
89,108,48,7333
89,108,48,7404
89,108,48,7333
89,108,48,7403
89,108,48,7403
89,108,48,6915
89,108,48,7473
89,108,48,7334
89,108,48,7403
89,108,48,7472
