n,m,p,it,diff,ns
95,85,0.6,50,5,2946509
95,85,0.6,50,5,2976681
95,85,0.6,50,5,2936802
95,85,0.6,50,5,2948186
95,85,0.6,50,5,2943017
95,85,0.6,50,5,2978288
95,85,0.6,50,5,2940503
95,85,0.6,50,5,2941272
95,85,0.6,50,5,2940783
95,85,0.6,50,5,2947627
95,85,0.6,50,5,2935196
95,85,0.6,50,5,2975284
95,85,0.6,50,5,2944205
95,85,0.6,50,5,2946370
95,85,0.6,50,5,2935894
95,85,0.6,50,5,2980243
95,85,0.6,50,5,2944205
95,85,0.6,50,5,2942389
95,85,0.6,50,5,2935196
95,85,0.6,50,5,2944973
95,85,0.6,50,5,2982966
95,85,0.6,50,5,2945601
95,85,0.6,50,5,2939735
95,85,0.6,50,5,2943157
95,85,0.6,50,5,2980382
95,85,0.6,50,5,2936243
95,85,0.6,50,5,2947138
95,85,0.6,50,5,2944065
95,85,0.6,50,5,2981919
95,85,0.6,50,5,2934916
95,85,0.6,50,5,2948396
95,85,0.6,50,5,2947418
95,85,0.6,50,5,2978776
95,85,0.6,50,5,2938897
95,85,0.6,50,5,2940154
95,85,0.6,50,5,2945742
95,85,0.6,50,5,2981430
95,85,0.6,50,5,2939386
95,85,0.6,50,5,2940014
95,85,0.6,50,5,2945043
95,85,0.6,50,5,2940223
95,85,0.6,50,5,2936453
95,85,0.6,50,5,2974865
95,85,0.6,50,5,2942948
95,85,0.6,50,5,2932961
95,85,0.6,50,5,2942528
95,85,0.6,50,5,2940364
95,85,0.6,50,5,2946999
95,85,0.6,50,5,2938128
95,85,0.6,50,5,2977729
95,85,0.6,50,5,2945252
95,85,0.6,50,5,2949234
95,85,0.6,50,5,2936522
95,85,0.6,50,5,2974097
95,85,0.6,50,5,2939525
95,85,0.6,50,5,2942320
95,85,0.6,50,5,2939944
95,85,0.6,50,5,2944624
95,85,0.6,50,5,2943926
95,85,0.6,50,5,2980522
95,85,0.6,50,5,2940922
95,85,0.6,50,5,2943995
95,85,0.6,50,5,2980662
95,85,0.6,50,5,2942179
95,85,0.6,50,5,2937291
95,85,0.6,50,5,2947278
95,85,0.6,50,5,2945741
95,85,0.6,50,5,2973677
95,85,0.6,50,5,2945253
95,85,0.6,50,5,2940992
95,85,0.6,50,5,2942250
95,85,0.6,50,5,2939944
95,85,0.6,50,5,2981011
95,85,0.6,50,5,2946859
95,85,0.6,50,5,2984153
95,85,0.6,50,5,2899996
95,85,0.6,50,5,2982967
95,85,0.6,50,5,2947976
110,102,0.6,50,8,3296202
110,102,0.6,50,8,3183759
