n,m,diff,ns
41,45,15,17321
41,45,15,17251
41,45,15,17181
41,45,15,17320
41,45,15,17041
41,45,15,17321
41,45,15,17460
41,45,15,17460
41,45,15,17461
41,45,15,17041
41,45,15,17600
41,45,15,17460
41,45,15,17391
41,45,15,17320
41,45,15,17390
41,45,15,17321
41,45,15,17390
41,45,15,17250
41,45,15,17251
41,45,15,17251
41,45,15,17391
41,45,15,17460
41,45,15,17251
41,45,15,18228
41,45,15,17460
41,45,15,17460
41,45,15,17530
41,45,15,17391
41,45,15,17390
41,45,15,17391
41,45,15,17460
41,45,15,17390
41,45,15,17460
41,45,15,17460
41,45,15,17460
41,45,15,17460
41,45,15,17530
41,45,15,17321
41,45,15,17390
41,45,15,17041
41,45,15,17111
41,45,15,17251
41,45,15,17530
41,45,15,17321
41,45,15,17390
41,45,15,17530
41,45,15,17391
41,45,15,17390
41,45,15,17321
41,45,15,17321
41,45,15,17390
41,45,15,17320
41,45,15,17460
41,45,15,17251
41,45,15,17181
41,45,15,17390
41,45,15,17320
41,45,15,17321
41,45,15,17321
41,45,15,16971
41,45,15,17391
41,45,15,17320
41,45,15,17320
41,45,15,17111
41,45,15,17320
41,45,15,17460
41,45,15,17321
41,45,15,17460
41,45,15,17460
41,45,15,17460
41,45,15,17320
41,45,15,17739
41,45,15,16902
41,45,15,17390
41,45,15,17530
41,45,15,17320
41,45,15,17461
41,45,15,17320
41,45,15,17250
41,45,15,17390
41,45,15,17321
41,45,15,17530
41,45,15,17321
41,45,15,17530
41,45,15,17530
47,51,19,37504
47,51,19,27936
47,51,19,26540
47,51,19,36178
47,51,19,35479
47,51,19,19695
47,51,19,18996
47,51,19,19136
47,51,19,18927
47,51,19,19067
47,51,19,19137
47,51,19,19276
47,51,19,18997
47,51,19,18997
47,51,19,18997
47,51,19,19067
47,51,19,18997
47,51,19,19066
47,51,19,19136
47,51,19,18997
47,51,19,19137
47,51,19,19136
47,51,19,19206
47,51,19,19067
47,51,19,19206
47,51,19,18926
47,51,19,19207
47,51,19,19136
47,51,19,18996
47,51,19,19136
47,51,19,19136
47,51,19,18718
47,51,19,19485
47,51,19,18718
47,51,19,19206
47,51,19,19067
47,51,19,18927
47,51,19,18997
47,51,19,19137
47,51,19,19136
47,51,19,18996
47,51,19,19136
47,51,19,18997
47,51,19,18857
47,51,19,19137
47,51,19,19137
47,51,19,18997
47,51,19,18997
47,51,19,19136
47,51,19,19066
47,51,19,19276
47,51,19,19206
47,51,19,19136
47,51,19,19066
47,51,19,19067
47,51,19,19067
47,51,19,19206
47,51,19,19137
47,51,19,19137
47,51,19,19136
47,51,19,18996
47,51,19,18997
47,51,19,19067
47,51,19,19067
47,51,19,18997
47,51,19,19067
47,51,19,19206
47,51,19,19206
47,51,19,19137
47,51,19,19485
47,51,19,19066
47,51,19,19066
47,51,19,19066
47,51,19,19206
47,51,19,19276
47,51,19,19137
47,51,19,19066
47,51,19,18996
47,51,19,19067
47,51,19,19067
47,51,19,18996
47,51,19,19066
47,51,19,18508
47,51,19,19067
47,51,19,18927
47,51,19,19207
47,51,19,18927
47,51,19,19066
47,51,19,19136
47,51,19,19066
47,51,19,19067
47,51,19,19346
47,51,19,19067
47,51,19,18997
47,51,19,19276
47,51,19,19206
47,51,19,19206
47,51,19,19067
47,51,19,19067
47,51,19,19136
55,63,24,21650
55,63,24,20603
55,63,24,20603
55,63,24,21511
55,63,24,21161
55,63,24,20463
55,63,24,20254
55,63,24,20533
55,63,24,20323
55,63,24,21441
55,63,24,20254
55,63,24,20184
55,63,24,20324
55,63,24,20464
55,63,24,20324
55,63,24,19835
55,63,24,20603
55,63,24,21581
55,63,24,20394
55,63,24,20533
55,63,24,20603
55,63,24,20324
55,63,24,19974
55,63,24,20393
55,63,24,20254
55,63,24,20464
55,63,24,20324
55,63,24,20254
55,63,24,20324
55,63,24,20463
55,63,24,20323
55,63,24,20533
55,63,24,20394
55,63,24,20463
55,63,24,20534
55,63,24,20393
55,63,24,20463
55,63,24,20324
55,63,24,20394
55,63,24,20463
55,63,24,20463
55,63,24,20464
55,63,24,20324
55,63,24,20603
55,63,24,20464
55,63,24,20673
55,63,24,20394
55,63,24,20184
55,63,24,20324
55,63,24,20324
55,63,24,20394
55,63,24,20393
55,63,24,20393
55,63,24,20533
55,63,24,20463
55,63,24,20464
55,63,24,20324
55,63,24,20184
55,63,24,20254
55,63,24,20324
55,63,24,20743
55,63,24,20324
55,63,24,20463
55,63,24,20393
55,63,24,20254
55,63,24,28216
55,63,24,19835
55,63,24,19975
55,63,24,19765
55,63,24,19835
55,63,24,19904
55,63,24,19905
55,63,24,19486
55,63,24,19905
55,63,24,19905
55,63,24,19835
55,63,24,19765
55,63,24,19695
55,63,24,19765
55,63,24,19904
55,63,24,19834
55,63,24,19904
55,63,24,26609
55,63,24,20463
55,63,24,19905
55,63,24,19905
55,63,24,19905
55,63,24,19835
55,63,24,19695
55,63,24,19975
55,63,24,19905
55,63,24,20044
55,63,24,19905
55,63,24,19905
55,63,24,19835
55,63,24,20184
55,63,24,20114
55,63,24,19765
55,63,24,19835
55,63,24,20044
62,70,29,23745
62,70,29,29682
62,70,29,29333
62,70,29,30730
62,70,29,46584
62,70,29,22209
62,70,29,20743
62,70,29,21162
62,70,29,21092
62,70,29,20952
62,70,29,21162
62,70,29,22069
62,70,29,21232
62,70,29,21022
62,70,29,21301
62,70,29,21092
62,70,29,21091
62,70,29,21022
62,70,29,21162
62,70,29,20603
62,70,29,21790
62,70,29,20603
62,70,29,21372
62,70,29,21022
62,70,29,21162
62,70,29,21162
62,70,29,21092
62,70,29,20952
62,70,29,21023
62,70,29,21092
62,70,29,21022
62,70,29,21231
62,70,29,20673
62,70,29,21022
62,70,29,21022
62,70,29,21022
62,70,29,21162
62,70,29,20952
62,70,29,21022
62,70,29,21022
62,70,29,21161
62,70,29,20812
62,70,29,20952
62,70,29,21162
62,70,29,21162
62,70,29,21231
62,70,29,21092
62,70,29,21232
62,70,29,21022
62,70,29,21161
62,70,29,21162
62,70,29,21022
62,70,29,21092
62,70,29,21581
62,70,29,21092
62,70,29,21022
62,70,29,21092
62,70,29,21022
62,70,29,21231
62,70,29,21092
62,70,29,21162
62,70,29,20953
62,70,29,21092
62,70,29,21162
62,70,29,21022
62,70,29,21162
62,70,29,21232
62,70,29,21162
62,70,29,21232
62,70,29,21162
62,70,29,21162
62,70,29,21162
62,70,29,21022
62,70,29,21162
62,70,29,21232
62,70,29,21022
62,70,29,21162
62,70,29,21023
62,70,29,21162
62,70,29,21091
62,70,29,21092
62,70,29,21162
62,70,29,21231
62,70,29,21161
62,70,29,21231
62,70,29,21022
62,70,29,21022
62,70,29,21162
62,70,29,21092
62,70,29,21232
62,70,29,21162
62,70,29,21301
62,70,29,21092
62,70,29,21092
62,70,29,21092
62,70,29,21162
62,70,29,21092
62,70,29,21161
62,70,29,21162
62,70,29,21161
71,84,35,23746
71,84,35,31218
71,84,35,23257
71,84,35,31987
71,84,35,31848
71,84,35,23047
71,84,35,22418
71,84,35,22489
71,84,35,22559
71,84,35,21930
71,84,35,23187
71,84,35,22419
71,84,35,22768
71,84,35,22489
71,84,35,22628
71,84,35,22488
71,84,35,22419
71,84,35,22488
71,84,35,22558
71,84,35,22419
71,84,35,22419
71,84,35,22279
71,84,35,22629
71,84,35,22419
71,84,35,22908
71,84,35,22559
71,84,35,22419
71,84,35,22489
71,84,35,22698
71,84,35,22349
71,84,35,22559
71,84,35,22419
71,84,35,22349
71,84,35,22628
71,84,35,22699
71,84,35,22558
71,84,35,22488
71,84,35,22349
71,84,35,22559
71,84,35,22419
71,84,35,22559
71,84,35,22698
