n,m,p,it,diff
105,1788,0.4,37,0
105,1788,0.4,38,0
105,1788,0.4,39,0
105,1788,0.4,40,0
105,1788,0.4,41,0
105,1788,0.4,42,0
105,1788,0.4,43,0
105,1788,0.4,44,0
105,1788,0.4,45,0
105,1788,0.4,46,0
105,1788,0.4,47,0
105,1788,0.4,48,0
105,1788,0.4,49,0
105,1788,0.4,50,0
105,1788,0.5,1,17
105,1788,0.5,2,37
105,1788,0.5,3,14
105,1788,0.5,4,0
105,1788,0.5,5,0
105,1788,0.5,6,0
105,1788,0.5,7,10
105,1788,0.5,8,0
105,1788,0.5,9,0
105,1788,0.5,10,0
105,1788,0.5,11,6
105,1788,0.5,12,8
105,1788,0.5,13,0
105,1788,0.5,14,0
105,1788,0.5,15,0
105,1788,0.5,16,0
105,1788,0.5,17,0
105,1788,0.5,18,0
105,1788,0.5,19,10
105,1788,0.5,20,0
105,1788,0.5,21,0
105,1788,0.5,22,0
105,1788,0.5,23,0
105,1788,0.5,24,0
105,1788,0.5,25,0
105,1788,0.5,26,0
105,1788,0.5,27,0
105,1788,0.5,28,0
105,1788,0.5,29,0
105,1788,0.5,30,0
105,1788,0.5,31,0
105,1788,0.5,32,0
105,1788,0.5,33,0
105,1788,0.5,34,0
105,1788,0.5,35,0
105,1788,0.5,36,0
105,1788,0.5,37,6
105,1788,0.5,38,7
105,1788,0.5,39,0
105,1788,0.5,40,0
105,1788,0.5,41,0
105,1788,0.5,42,0
105,1788,0.5,43,0
105,1788,0.5,44,0
105,1788,0.5,45,0
105,1788,0.5,46,0
105,1788,0.5,47,0
105,1788,0.5,48,0
105,1788,0.5,49,0
105,1788,0.5,50,0
105,1788,0.6,1,62
105,1788,0.6,2,0
105,1788,0.6,3,52
105,1788,0.6,4,17
105,1788,0.6,5,6
105,1788,0.6,6,10
105,1788,0.6,7,17
105,1788,0.6,8,6
105,1788,0.6,9,0
105,1788,0.6,10,17
105,1788,0.6,11,0
105,1788,0.6,12,0
105,1788,0.6,13,8
105,1788,0.6,14,0
105,1788,0.6,15,8
105,1788,0.6,16,0
105,1788,0.6,17,0
105,1788,0.6,18,0
105,1788,0.6,19,0
105,1788,0.6,20,0
105,1788,0.6,21,0
105,1788,0.6,22,0
105,1788,0.6,23,8
105,1788,0.6,24,0
105,1788,0.6,25,0
105,1788,0.6,26,0
105,1788,0.6,27,0
105,1788,0.6,28,10
105,1788,0.6,29,0
105,1788,0.6,30,0
105,1788,0.6,31,0
105,1788,0.6,32,0
105,1788,0.6,33,0
105,1788,0.6,34,0
105,1788,0.6,35,0
105,1788,0.6,36,0
105,1788,0.6,37,0
105,1788,0.6,38,0
105,1788,0.6,39,0
105,1788,0.6,40,0
105,1788,0.6,41,0
105,1788,0.6,42,0
105,1788,0.6,43,0
105,1788,0.6,44,0
105,1788,0.6,45,0
105,1788,0.6,46,0
105,1788,0.6,47,0
105,1788,0.6,48,0
105,1788,0.6,49,0
105,1788,0.6,50,0
105,1788,0.7,1,0
105,1788,0.7,2,41
105,1788,0.7,3,0
105,1788,0.7,4,37
105,1788,0.7,5,0
105,1788,0.7,6,0
105,1788,0.7,7,7
105,1788,0.7,8,0
105,1788,0.7,9,7
105,1788,0.7,10,14
105,1788,0.7,11,0
105,1788,0.7,12,0
105,1788,0.7,13,0
105,1788,0.7,14,7
105,1788,0.7,15,0
105,1788,0.7,16,0
105,1788,0.7,17,0
105,1788,0.7,18,0
105,1788,0.7,19,0
105,1788,0.7,20,0
105,1788,0.7,21,0
105,1788,0.7,22,0
105,1788,0.7,23,0
105,1788,0.7,24,0
105,1788,0.7,25,0
105,1788,0.7,26,0
105,1788,0.7,27,0
105,1788,0.7,28,0
105,1788,0.7,29,0
105,1788,0.7,30,0
105,1788,0.7,31,0
105,1788,0.7,32,0
105,1788,0.7,33,0
105,1788,0.7,34,0
105,1788,0.7,35,0
105,1788,0.7,36,0
105,1788,0.7,37,0
105,1788,0.7,38,0
105,1788,0.7,39,0
105,1788,0.7,40,0
105,1788,0.7,41,0
105,1788,0.7,42,0
105,1788,0.7,43,0
105,1788,0.7,44,0
105,1788,0.7,45,0
105,1788,0.7,46,0
105,1788,0.7,47,0
105,1788,0.7,48,0
105,1788,0.7,49,0
105,1788,0.7,50,0
105,1788,0.8,1,42
105,1788,0.8,2,56
105,1788,0.8,3,0
105,1788,0.8,4,10
105,1788,0.8,5,6
105,1788,0.8,6,0
105,1788,0.8,7,0
105,1788,0.8,8,0
105,1788,0.8,9,0
105,1788,0.8,10,0
105,1788,0.8,11,0
105,1788,0.8,12,0
105,1788,0.8,13,0
105,1788,0.8,14,0
105,1788,0.8,15,0
105,1788,0.8,16,10
105,1788,0.8,17,0
105,1788,0.8,18,0
105,1788,0.8,19,0
105,1788,0.8,20,0
105,1788,0.8,21,0
105,1788,0.8,22,0
105,1788,0.8,23,0
105,1788,0.8,24,0
105,1788,0.8,25,0
105,1788,0.8,26,0
105,1788,0.8,27,0
105,1788,0.8,28,0
105,1788,0.8,29,0
105,1788,0.8,30,0
105,1788,0.8,31,0
105,1788,0.8,32,0
105,1788,0.8,33,0
105,1788,0.8,34,0
105,1788,0.8,35,0
105,1788,0.8,36,0
105,1788,0.8,37,0
105,1788,0.8,38,0
105,1788,0.8,39,0
105,1788,0.8,40,0
105,1788,0.8,41,0
105,1788,0.8,42,0
105,1788,0.8,43,0
105,1788,0.8,44,0
105,1788,0.8,45,0
105,1788,0.8,46,0
105,1788,0.8,47,0
105,1788,0.8,48,0
105,1788,0.8,49,0
105,1788,0.8,50,0
105,1788,0.9,1,24
105,1788,0.9,2,40
105,1788,0.9,3,0
105,1788,0.9,4,0
105,1788,0.9,5,0
105,1788,0.9,6,0
105,1788,0.9,7,0
105,1788,0.9,8,0
105,1788,0.9,9,0
105,1788,0.9,10,0
105,1788,0.9,11,0
105,1788,0.9,12,0
105,1788,0.9,13,0
105,1788,0.9,14,0
105,1788,0.9,15,10
105,1788,0.9,16,0
105,1788,0.9,17,0
105,1788,0.9,18,6
105,1788,0.9,19,0
105,1788,0.9,20,6
105,1788,0.9,21,0
105,1788,0.9,22,10
105,1788,0.9,23,0
105,1788,0.9,24,0
105,1788,0.9,25,0
105,1788,0.9,26,0
105,1788,0.9,27,0
105,1788,0.9,28,0
105,1788,0.9,29,0
105,1788,0.9,30,0
105,1788,0.9,31,0
105,1788,0.9,32,0
105,1788,0.9,33,0
105,1788,0.9,34,0
105,1788,0.9,35,0
105,1788,0.9,36,0
105,1788,0.9,37,0
105,1788,0.9,38,0
105,1788,0.9,39,0
105,1788,0.9,40,0
105,1788,0.9,41,0
105,1788,0.9,42,0
105,1788,0.9,43,0
105,1788,0.9,44,0
105,1788,0.9,45,0
105,1788,0.9,46,0
105,1788,0.9,47,0
105,1788,0.9,48,0
105,1788,0.9,49,0
105,1788,0.9,50,0
105,1788,1.0,1,10
105,1788,1.0,2,0
105,1788,1.0,3,10
105,1788,1.0,4,0
105,1788,1.0,5,7
105,1788,1.0,6,6
105,1788,1.0,7,0
105,1788,1.0,8,0
105,1788,1.0,9,0
105,1788,1.0,10,0
105,1788,1.0,11,0
105,1788,1.0,12,0
105,1788,1.0,13,0
105,1788,1.0,14,0
105,1788,1.0,15,0
105,1788,1.0,16,0
105,1788,1.0,17,0
105,1788,1.0,18,0
105,1788,1.0,19,0
105,1788,1.0,20,0
105,1788,1.0,21,0
105,1788,1.0,22,0
105,1788,1.0,23,0
105,1788,1.0,24,0
105,1788,1.0,25,0
105,1788,1.0,26,0
105,1788,1.0,27,0
105,1788,1.0,28,0
105,1788,1.0,29,0
105,1788,1.0,30,0
105,1788,1.0,31,0
105,1788,1.0,32,0
105,1788,1.0,33,0
105,1788,1.0,34,0
105,1788,1.0,35,0
105,1788,1.0,36,0
105,1788,1.0,37,0
105,1788,1.0,38,0
105,1788,1.0,39,0
105,1788,1.0,40,0
105,1788,1.0,41,0
105,1788,1.0,42,0
105,1788,1.0,43,0
105,1788,1.0,44,0
105,1788,1.0,45,0
105,1788,1.0,46,0
105,1788,1.0,47,0
105,1788,1.0,48,0
105,1788,1.0,49,0
105,1788,1.0,50,0
110,1899,0.1,1,58
110,1899,0.1,2,38
110,1899,0.1,3,7
110,1899,0.1,4,7
110,1899,0.1,5,0
110,1899,0.1,6,0
110,1899,0.1,7,7
110,1899,0.1,8,0
110,1899,0.1,9,7
110,1899,0.1,10,0
110,1899,0.1,11,0
110,1899,0.1,12,0
110,1899,0.1,13,7
110,1899,0.1,14,0
110,1899,0.1,15,0
110,1899,0.1,16,7
110,1899,0.1,17,0
110,1899,0.1,18,7
110,1899,0.1,19,7
110,1899,0.1,20,0
110,1899,0.1,21,0
110,1899,0.1,22,0
110,1899,0.1,23,0
110,1899,0.1,24,10
110,1899,0.1,25,0
110,1899,0.1,26,7
110,1899,0.1,27,0
110,1899,0.1,28,0
110,1899,0.1,29,0
110,1899,0.1,30,7
110,1899,0.1,31,0
110,1899,0.1,32,0
110,1899,0.1,33,0
110,1899,0.1,34,7
110,1899,0.1,35,0
110,1899,0.1,36,0
110,1899,0.1,37,0
110,1899,0.1,38,0
110,1899,0.1,39,0
110,1899,0.1,40,0
110,1899,0.1,41,0
110,1899,0.1,42,0
110,1899,0.1,43,0
