n,m,p,it,ns
2,1,0.2,5,62019
2,1,0.2,5,61949
2,1,0.2,5,62089
2,1,0.2,5,61320
2,1,0.2,5,62228
2,1,0.2,5,61600
2,1,0.2,5,61670
2,1,0.2,5,61809
2,1,0.2,5,61879
2,1,0.2,5,61391
2,1,0.2,5,62019
2,1,0.2,5,61460
2,1,0.2,5,62158
2,1,0.2,5,61600
2,1,0.2,5,62088
2,1,0.2,5,61390
2,1,0.2,5,61739
2,1,0.2,5,68584
2,1,0.2,5,61809
2,1,0.2,5,62158
2,1,0.2,5,61669
2,1,0.2,5,61599
2,1,0.2,5,62019
2,1,0.2,5,61461
2,1,0.2,5,62229
2,1,0.2,5,61111
2,1,0.2,5,60622
2,1,0.2,5,62229
2,1,0.2,5,62298
2,1,0.2,5,61809
2,1,0.2,5,62089
2,1,0.2,5,61949
2,1,0.2,5,62298
2,1,0.2,5,60762
2,1,0.2,5,61740
2,1,0.3,1,14807
2,1,0.3,1,12501
2,1,0.3,1,13968
2,1,0.3,1,13060
2,1,0.3,1,25352
2,1,0.3,1,13968
2,1,0.3,1,13689
2,1,0.3,1,12152
2,1,0.3,1,14527
2,1,0.3,1,11873
2,1,0.3,1,13619
2,1,0.3,1,25282
2,1,0.3,1,13549
2,1,0.3,1,13270
2,1,0.3,1,13409
2,1,0.3,1,12222
2,1,0.3,1,13898
2,1,0.3,1,11734
2,1,0.3,1,38622
2,1,0.3,1,14177
2,1,0.3,1,14108
2,1,0.3,1,14387
2,1,0.3,1,14247
2,1,0.3,1,14108
2,1,0.3,1,14318
2,1,0.3,1,14387
2,1,0.3,1,13619
2,1,0.3,1,14038
2,1,0.3,1,14317
2,1,0.3,1,14178
2,1,0.3,1,14108
2,1,0.3,1,14248
2,1,0.3,1,14458
2,1,0.3,1,25772
2,1,0.3,1,26121
2,1,0.3,1,14177
2,1,0.3,1,14108
2,1,0.3,1,14177
2,1,0.3,1,14178
2,1,0.3,1,13619
2,1,0.3,1,13689
2,1,0.3,1,14178
2,1,0.3,1,14038
2,1,0.3,1,14038
2,1,0.3,1,14108
2,1,0.3,1,14178
2,1,0.3,1,14108
2,1,0.3,1,14387
2,1,0.3,1,14387
2,1,0.3,1,14247
2,1,0.3,1,13828
2,1,0.3,1,14178
2,1,0.3,1,14177
2,1,0.3,1,14387
2,1,0.3,1,14177
2,1,0.3,1,14038
2,1,0.3,1,14038
2,1,0.3,1,14108
2,1,0.3,1,14108
2,1,0.3,1,14038
2,1,0.3,1,14387
2,1,0.3,1,14177
2,1,0.3,1,14038
2,1,0.3,1,14108
2,1,0.3,1,13689
2,1,0.3,1,14108
2,1,0.3,1,13619
2,1,0.3,1,14108
2,1,0.3,1,13759
2,1,0.3,1,14108
2,1,0.3,1,14247
2,1,0.3,1,13549
2,1,0.3,1,14108
